Time,PPG
1.0000,0.114662
1.0100,0.224762
1.0200,0.277170
1.0300,0.272469
1.0400,0.263195
1.0500,0.188195
1.0600,0.176922
1.0700,0.096588
1.0800,0.072648
1.0900,0.028527
1.1000,0.027978
1.1100,0.000000
1.1200,0.014856
1.1300,0.000000
1.1400,0.000000
1.1500,0.010791
1.1600,0.003854
1.1700,0.026838
1.1800,0.012519
1.1900,0.016473
1.2000,0.000000
1.2100,0.000940
1.2200,0.000000
1.2300,0.004123
1.2400,0.000000
1.2500,0.000000
1.2600,0.000000
1.2700,0.019803
1.2800,0.012658
1.2900,0.000000
1.3000,0.016870
1.3100,0.017969
1.3200,0.013411
1.3300,0.000000
1.3400,0.005673
1.3500,0.000000
1.3600,0.005754
1.3700,0.021955
1.3800,0.000000
1.3900,0.000000
1.4000,0.030224
1.4100,0.000000
1.4200,0.002503
1.4300,0.019648
1.4400,0.017900
1.4500,0.028086
1.4600,0.000000
1.4700,0.020314
1.4800,0.000000
1.4900,0.011905
1.5000,0.018448
1.5100,0.027233
1.5200,0.000000
1.5300,0.000000
1.5400,0.000000
1.5500,0.021175
1.5600,0.019885
1.5700,0.017956
1.5800,0.000000
1.5900,0.000000
1.6000,0.005488
1.6100,0.016631
1.6200,0.009737
1.6300,0.000000
1.6400,0.000000
1.6500,0.153292
1.6600,0.245596
1.6700,0.378823
1.6800,0.558165
1.6900,0.736068
1.7000,0.900266
1.7100,0.994100
1.7200,1.008072
1.7300,0.924146
1.7400,0.715626
1.7500,0.535500
1.7600,0.343120
1.7700,0.196615
1.7800,0.078099
1.7900,0.078285
1.8000,0.142463
1.8100,0.224969
1.8200,0.272592
1.8300,0.317446
1.8400,0.256417
1.8500,0.198462
1.8600,0.133209
1.8700,0.115833
1.8800,0.042468
1.8900,0.040785
1.9000,0.012936
1.9100,0.018412
1.9200,0.000000
1.9300,0.008899
1.9400,0.016008
1.9500,0.000000
1.9600,0.025206
1.9700,0.000000
1.9800,0.017674
1.9900,0.000000
2.0000,0.010955
2.0100,0.013123
2.0200,0.000000
2.0300,0.018635
2.0400,0.005766
2.0500,0.009939
2.0600,0.001556
2.0700,0.003560
2.0800,0.009373
2.0900,0.018818
2.1000,0.000000
2.1100,0.000000
2.1200,0.000000
2.1300,0.000000
2.1400,0.017266
2.1500,0.000000
2.1600,0.000000
2.1700,0.001290
2.1800,0.017587
2.1900,0.000000
2.2000,0.013906
2.2100,0.006640
2.2200,0.007161
2.2300,0.014532
2.2400,0.000000
2.2500,0.000000
2.2600,0.010865
2.2700,0.013556
2.2800,0.011071
2.2900,0.000000
2.3000,0.000000
2.3100,0.010396
2.3200,0.000000
2.3300,0.007162
2.3400,0.000000
2.3500,0.014455
2.3600,0.012041
2.3700,0.003183
2.3800,0.005506
2.3900,0.000000
2.4000,0.000000
2.4100,0.000000
2.4200,0.000000
2.4300,0.000000
2.4400,0.009005
2.4500,0.019463
2.4600,0.229874
2.4700,0.353323
2.4800,0.554527
2.4900,0.721753
2.5000,0.895768
2.5100,0.999294
2.5200,0.989263
2.5300,0.874629
2.5400,0.728869
2.5500,0.541057
2.5600,0.352467
2.5700,0.204892
2.5800,0.081201
2.5900,0.054573
2.6000,0.128717
2.6100,0.225246
2.6200,0.281515
2.6300,0.280787
2.6400,0.257938
2.6500,0.213631
2.6600,0.145380
2.6700,0.075670
2.6800,0.065778
2.6900,0.026747
2.7000,0.000000
2.7100,0.005238
2.7200,0.016631
2.7300,0.000000
2.7400,0.007137
2.7500,0.000000
2.7600,0.000000
2.7700,0.000389
2.7800,0.000000
2.7900,0.000000
2.8000,0.000000
2.8100,0.000000
2.8200,0.000000
2.8300,0.016319
2.8400,0.011939
2.8500,0.004575
2.8600,0.007752
2.8700,0.033664
2.8800,0.000000
2.8900,0.000000
2.9000,0.001560
2.9100,0.009336
2.9200,0.000000
2.9300,0.024781
2.9400,0.000000
2.9500,0.015636
2.9600,0.014327
2.9700,0.000000
2.9800,0.005465
2.9900,0.002796
3.0000,0.006332
3.0100,0.000000
3.0200,0.020162
3.0300,0.000000
3.0400,0.012022
3.0500,0.003875
3.0600,0.010711
3.0700,0.017483
3.0800,0.000000
3.0900,0.027777
3.1000,0.006760
3.1100,0.014945
3.1200,0.000000
3.1300,0.001783
3.1400,0.032112
3.1500,0.009308
3.1600,0.000000
3.1700,0.000612
3.1800,0.007537
3.1900,0.000000
3.2000,0.000698
3.2100,0.002266
3.2200,0.000000
3.2300,0.008858
3.2400,0.007948
3.2500,0.126600
3.2600,0.257409
3.2700,0.346923
3.2800,0.566995
3.2900,0.718931
3.3000,0.877377
3.3100,0.984407
3.3200,0.975966
3.3300,0.892756
3.3400,0.726646
3.3500,0.550629
3.3600,0.356920
3.3700,0.206402
3.3800,0.088933
3.3900,0.063955
3.4000,0.114702
3.4100,0.209263
3.4200,0.270429
3.4300,0.310521
3.4400,0.281185
3.4500,0.220925
3.4600,0.129260
3.4700,0.076121
3.4800,0.060030
3.4900,0.021570
3.5000,0.023913
3.5100,0.033130
3.5200,0.000000
3.5300,0.000000
3.5400,0.019603
3.5500,0.000000
3.5600,0.000000
3.5700,0.011266
3.5800,0.010575
3.5900,0.019826
3.6000,0.003009
3.6100,0.000000
3.6200,0.022109
3.6300,0.005186
3.6400,0.000000
3.6500,0.000523
3.6600,0.026077
3.6700,0.000000
3.6800,0.000000
3.6900,0.015605
3.7000,0.018331
3.7100,0.020599
3.7200,0.029685
3.7300,0.013046
3.7400,0.016709
3.7500,0.009696
3.7600,0.005527
3.7700,0.000179
3.7800,0.025687
3.7900,0.010550
3.8000,0.016318
3.8100,0.000000
3.8200,0.019388
3.8300,0.021147
3.8400,0.001972
3.8500,0.023666
3.8600,0.002230
3.8700,0.007114
3.8800,0.008021
3.8900,0.024774
3.9000,0.008208
3.9100,0.000503
3.9200,0.028977
3.9300,0.000000
3.9400,0.010905
3.9500,0.000000
3.9600,0.007660
3.9700,0.015850
3.9800,0.000000
3.9900,0.011479
4.0000,0.013935
4.0100,0.011173
4.0200,0.000000
4.0300,0.000000
4.0400,0.000000
4.0500,0.011952
4.0600,0.229066
4.0700,0.384522
4.0800,0.578365
4.0900,0.726701
4.1000,0.885296
4.1100,0.996333
4.1200,1.005007
4.1300,0.895554
4.1400,0.755371
4.1500,0.512473
4.1600,0.329202
4.1700,0.150480
4.1800,0.090796
4.1900,0.065438
4.2000,0.120911
4.2100,0.223033
4.2200,0.258796
4.2300,0.315764
4.2400,0.296306
4.2500,0.217411
4.2600,0.131147
4.2700,0.105793
4.2800,0.076887
4.2900,0.017753
4.3000,0.041980
4.3100,0.000000
4.3200,0.000000
4.3300,0.000000
4.3400,0.000000
4.3500,0.000000
4.3600,0.000000
4.3700,0.001995
4.3800,0.000000
4.3900,0.012722
4.4000,0.025752
4.4100,0.000000
4.4200,0.007833
4.4300,0.012954
4.4400,0.019299
4.4500,0.000000
4.4600,0.003002
4.4700,0.000000
4.4800,0.000000
4.4900,0.000000
4.5000,0.002098
4.5100,0.018429
4.5200,0.016349
4.5300,0.014126
4.5400,0.009378
4.5500,0.016822
4.5600,0.018060
4.5700,0.000000
4.5800,0.000000
4.5900,0.000000
4.6000,0.019462
4.6100,0.028962
4.6200,0.000000
4.6300,0.000000
4.6400,0.000000
4.6500,0.000000
4.6600,0.000000
4.6700,0.000000
4.6800,0.001677
4.6900,0.000255
4.7000,0.002224
4.7100,0.017803
4.7200,0.010571
4.7300,0.022769
4.7400,0.000000
4.7500,0.015201
4.7600,0.012784
4.7700,0.000000
4.7800,0.011673
4.7900,0.000482
4.8000,0.023015
4.8100,0.000000
4.8200,0.014488
4.8300,0.010606
4.8400,0.000000
4.8500,0.004629
4.8600,0.258683
4.8700,0.372112
4.8800,0.568158
4.8900,0.714006
4.9000,0.930199
4.9100,1.010558
4.9200,1.007427
4.9300,0.917397
4.9400,0.749426
4.9500,0.550946
4.9600,0.353754
4.9700,0.211307
4.9800,0.081757
4.9900,0.081616
5.0000,0.137061
5.0100,0.244914
5.0200,0.309046
5.0300,0.316727
5.0400,0.260157
5.0500,0.200002
5.0600,0.157807
5.0700,0.111891
5.0800,0.052238
5.0900,0.035135
5.1000,0.026407
5.1100,0.018652
5.1200,0.030066
5.1300,0.020289
5.1400,0.014930
5.1500,0.000000
5.1600,0.000784
5.1700,0.000000
5.1800,0.000000
5.1900,0.017020
5.2000,0.013005
5.2100,0.000000
5.2200,0.015340
5.2300,0.014829
5.2400,0.025708
5.2500,0.007174
5.2600,0.016305
5.2700,0.000000
5.2800,0.002715
5.2900,0.010193
5.3000,0.015734
5.3100,0.016474
5.3200,0.006620
5.3300,0.000000
5.3400,0.004684
5.3500,0.000000
5.3600,0.000000
5.3700,0.000000
5.3800,0.000000
5.3900,0.000000
5.4000,0.000000
5.4100,0.002903
5.4200,0.000000
5.4300,0.004806
5.4400,0.000000
5.4500,0.005094
5.4600,0.026890
5.4700,0.000000
5.4800,0.010548
5.4900,0.012684
5.5000,0.013083
5.5100,0.003117
5.5200,0.009422
5.5300,0.013845
5.5400,0.000000
5.5500,0.006322
5.5600,0.000000
5.5700,0.000000
5.5800,0.004021
5.5900,0.002494
5.6000,0.025655
5.6100,0.000000
5.6200,0.029182
5.6300,0.004183
5.6400,0.013935
5.6500,0.017789
5.6600,0.223060
5.6700,0.406781
5.6800,0.582614
5.6900,0.769634
5.7000,0.903220
5.7100,1.001161
5.7200,0.998486
5.7300,0.899998
5.7400,0.721162
5.7500,0.556489
5.7600,0.376735
5.7700,0.177897
5.7800,0.092256
5.7900,0.068677
5.8000,0.112083
5.8100,0.215602
5.8200,0.276576
5.8300,0.274717
5.8400,0.266324
5.8500,0.195453
5.8600,0.166471
5.8700,0.070213
5.8800,0.076187
5.8900,0.030900
5.9000,0.023142
5.9100,0.000000
5.9200,0.003746
5.9300,0.008023
5.9400,0.000000
5.9500,0.017571
5.9600,0.009408
5.9700,0.009848
5.9800,0.000000
5.9900,0.026519
6.0000,0.015695
6.0100,0.022923
6.0200,0.000000
6.0300,0.000101
6.0400,0.022321
6.0500,0.004286
6.0600,0.008734
6.0700,0.010381
6.0800,0.000000
6.0900,0.012965
6.1000,0.000000
6.1100,0.000000
6.1200,0.006882
6.1300,0.000000
6.1400,0.000000
6.1500,0.000000
6.1600,0.014272
6.1700,0.000000
6.1800,0.026970
6.1900,0.000000
6.2000,0.001708
6.2100,0.003759
6.2200,0.000000
6.2300,0.018785
6.2400,0.000000
6.2500,0.001020
6.2600,0.001732
6.2700,0.009246
6.2800,0.000000
6.2900,0.018076
6.3000,0.022647
6.3100,0.011855
6.3200,0.000000
6.3300,0.035101
6.3400,0.000000
6.3500,0.006825
6.3600,0.018152
6.3700,0.000000
6.3800,0.012873
6.3900,0.000000
6.4000,0.011543
6.4100,0.000000
6.4200,0.000000
6.4300,0.000000
6.4400,0.000000
6.4500,0.141080
6.4600,0.231975
6.4700,0.366710
6.4800,0.524684
6.4900,0.732211
6.5000,0.885974
6.5100,1.010815
6.5200,0.987664
6.5300,0.882418
6.5400,0.710898
6.5500,0.535648
6.5600,0.356023
6.5700,0.164120
6.5800,0.098197
6.5900,0.066404
6.6000,0.144132
6.6100,0.228148
6.6200,0.279751
6.6300,0.282136
6.6400,0.255106
6.6500,0.210363
6.6600,0.174846
6.6700,0.095156
6.6800,0.063059
6.6900,0.009578
6.7000,0.016100
6.7100,0.025441
6.7200,0.000000
6.7300,0.000000
6.7400,0.000000
6.7500,0.000000
6.7600,0.000000
6.7700,0.012135
6.7800,0.000000
6.7900,0.017169
6.8000,0.001467
6.8100,0.006823
6.8200,0.006695
6.8300,0.024929
6.8400,0.009627
6.8500,0.000000
6.8600,0.024587
6.8700,0.000000
6.8800,0.009124
6.8900,0.000000
6.9000,0.022774
6.9100,0.015004
6.9200,0.001683
6.9300,0.000000
6.9400,0.000000
6.9500,0.018538
6.9600,0.000000
6.9700,0.005949
6.9800,0.009008
6.9900,0.000000
7.0000,0.000000
7.0100,0.016996
7.0200,0.031982
7.0300,0.000000
7.0400,0.021809
7.0500,0.000000
7.0600,0.000000
7.0700,0.000000
7.0800,0.002961
7.0900,0.026970
7.1000,0.000000
7.1100,0.000000
7.1200,0.000000
7.1300,0.000000
7.1400,0.007061
7.1500,0.000000
7.1600,0.000000
7.1700,0.009615
7.1800,0.032916
7.1900,0.001634
7.2000,0.001570
7.2100,0.000000
7.2200,0.000000
7.2300,0.000000
7.2400,0.002061
7.2500,0.000000
7.2600,0.258166
7.2700,0.381174
7.2800,0.544050
7.2900,0.740215
7.3000,0.900535
7.3100,0.980784
7.3200,0.968661
7.3300,0.871064
7.3400,0.736928
7.3500,0.521053
7.3600,0.331216
7.3700,0.198684
7.3800,0.090953
7.3900,0.068173
7.4000,0.110575
7.4100,0.237936
7.4200,0.249906
7.4300,0.272475
7.4400,0.283523
7.4500,0.221178
7.4600,0.131097
7.4700,0.109700
7.4800,0.061396
7.4900,0.013042
7.5000,0.037163
7.5100,0.027269
7.5200,0.000000
7.5300,0.005722
7.5400,0.004055
7.5500,0.027901
7.5600,0.000000
7.5700,0.017025
7.5800,0.000000
7.5900,0.013418
7.6000,0.014092
7.6100,0.012533
7.6200,0.024167
7.6300,0.000000
7.6400,0.001012
7.6500,0.000000
7.6600,0.000000
7.6700,0.019981
7.6800,0.012668
7.6900,0.002360
7.7000,0.019319
7.7100,0.018062
7.7200,0.000000
7.7300,0.012138
7.7400,0.000000
7.7500,0.003947
7.7600,0.000000
7.7700,0.003619
7.7800,0.018726
7.7900,0.029510
7.8000,0.015143
7.8100,0.005424
7.8200,0.000000
7.8300,0.000000
7.8400,0.000000
7.8500,0.000000
7.8600,0.018762
7.8700,0.031494
7.8800,0.019650
7.8900,0.018921
7.9000,0.000000
7.9100,0.021835
7.9200,0.003383
7.9300,0.021451
7.9400,0.012827
7.9500,0.003785
7.9600,0.012594
7.9700,0.026626
7.9800,0.036818
7.9900,0.000000
8.0000,0.009673
8.0100,0.000000
8.0200,0.007672
8.0300,0.000000
8.0400,0.022518
8.0500,0.003571
8.0600,0.207345
8.0700,0.380542
8.0800,0.547103
8.0900,0.741964
8.1000,0.899450
8.1100,0.980936
8.1200,0.989395
8.1300,0.909680
8.1400,0.745501
8.1500,0.561435
8.1600,0.373632
8.1700,0.175137
8.1800,0.067370
8.1900,0.090957
8.2000,0.178005
8.2100,0.212698
8.2200,0.281350
8.2300,0.290325
8.2400,0.275311
8.2500,0.244179
8.2600,0.143869
8.2700,0.075425
8.2800,0.043956
8.2900,0.030508
8.3000,0.036179
8.3100,0.000000
8.3200,0.026635
8.3300,0.000000
8.3400,0.031707
8.3500,0.013966
8.3600,0.000000
8.3700,0.012717
8.3800,0.000000
8.3900,0.000000
8.4000,0.008509
8.4100,0.008100
8.4200,0.000000
8.4300,0.003222
8.4400,0.000000
8.4500,0.000000
8.4600,0.009646
8.4700,0.013921
8.4800,0.004340
8.4900,0.000000
8.5000,0.000887
8.5100,0.012490
8.5200,0.017764
8.5300,0.000000
8.5400,0.000000
8.5500,0.000000
8.5600,0.037279
8.5700,0.007614
8.5800,0.000000
8.5900,0.005675
8.6000,0.035995
8.6100,0.019197
8.6200,0.000518
8.6300,0.017148
8.6400,0.036280
8.6500,0.024974
8.6600,0.015065
8.6700,0.014604
8.6800,0.007845
8.6900,0.000000
8.7000,0.000000
8.7100,0.029566
8.7200,0.002607
8.7300,0.008158
8.7400,0.029594
8.7500,0.014701
8.7600,0.012417
8.7700,0.016291
8.7800,0.008679
8.7900,0.001364
8.8000,0.000000
8.8100,0.001146
8.8200,0.008224
8.8300,0.017882
8.8400,0.002553
8.8500,0.118997
8.8600,0.228192
8.8700,0.366275
8.8800,0.546955
8.8900,0.765617
8.9000,0.915735
8.9100,0.999720
8.9200,0.982001
8.9300,0.869358
8.9400,0.720850
8.9500,0.551615
8.9600,0.336302
8.9700,0.201881
8.9800,0.099760
8.9900,0.045314
9.0000,0.112224
9.0100,0.242512
9.0200,0.261353
9.0300,0.281365
9.0400,0.250927
9.0500,0.245500
9.0600,0.152272
9.0700,0.102507
9.0800,0.057726
9.0900,0.028538
9.1000,0.000000
9.1100,0.003722
9.1200,0.000000
9.1300,0.018530
9.1400,0.000000
9.1500,0.000000
9.1600,0.000000
9.1700,0.019755
9.1800,0.008117
9.1900,0.009110
9.2000,0.000000
9.2100,0.035221
9.2200,0.002462
9.2300,0.019545
9.2400,0.011491
9.2500,0.008482
9.2600,0.010848
9.2700,0.015123
9.2800,0.033072
9.2900,0.000000
9.3000,0.000000
9.3100,0.003798
9.3200,0.000000
9.3300,0.014256
9.3400,0.028889
9.3500,0.014844
9.3600,0.000000
9.3700,0.000000
9.3800,0.014980
9.3900,0.005674
9.4000,0.015623
9.4100,0.000000
9.4200,0.036735
9.4300,0.000000
9.4400,0.003036
9.4500,0.012492
9.4600,0.000000
9.4700,0.000000
9.4800,0.004349
9.4900,0.012154
9.5000,0.019822
9.5100,0.000000
9.5200,0.000472
9.5300,0.003987
9.5400,0.014821
9.5500,0.000000
9.5600,0.000000
9.5700,0.000000
9.5800,0.001536
9.5900,0.000000
9.6000,0.000000
9.6100,0.031740
9.6200,0.017647
9.6300,0.000000
9.6400,0.018340
9.6500,0.000000
9.6600,0.222353
9.6700,0.360932
9.6800,0.533438
9.6900,0.749183
9.7000,0.892872
9.7100,0.974186
9.7200,0.992835
9.7300,0.878533
9.7400,0.755166
9.7500,0.542506
9.7600,0.363980
9.7700,0.152149
9.7800,0.085900
9.7900,0.045408
9.8000,0.148266
9.8100,0.249797
9.8200,0.260156
9.8300,0.282369
9.8400,0.277548
9.8500,0.211112
9.8600,0.155880
9.8700,0.079711
9.8800,0.053898
9.8900,0.061033
9.9000,0.019724
9.9100,0.000000
9.9200,0.017034
9.9300,0.001633
9.9400,0.008266
9.9500,0.000000
9.9600,0.000000
9.9700,0.008095
9.9800,0.009986
9.9900,0.000000
